Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0,25.5,0.2830119775353257,Not Significant
Baseline,MLCV,F1,0.0,19.5,0.12096798278059871,Not Significant
Baseline,MLCV,Precision,0.0,21.5,0.1640208809464725,Not Significant
RUS_0,RUS_1,Recall,0.0,30.5,0.4990683548846472,Not Significant
RUS_0,RUS_1,F1,0.0,31.5,0.5508866153183205,Not Significant
RUS_0,RUS_1,Precision,0.0,30.5,0.4990683548846472,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.0,20.5,0.14123727265288805,Not Significant
TomekLinks_0,TomekLinks_1,F1,2.1404251469125946e-05,10.5,0.02342434054436848,MLCV Significantly Better
TomekLinks_0,TomekLinks_1,Precision,0.0,29.5,0.44996064795295154,Not Significant
ENN_0,ENN_1,Recall,0.0,34.5,0.7204486494197142,Not Significant
ENN_0,ENN_1,F1,0.0,26.5,0.3201968386745815,Not Significant
ENN_0,ENN_1,Precision,0.0,27.5,0.3604388478979109,Not Significant
NearMiss_0,NearMiss_1,Recall,0.0,38.5,0.9682827613458866,Not Significant
NearMiss_0,NearMiss_1,F1,0.0,28.5,0.4037149432334194,Not Significant
NearMiss_0,NearMiss_1,Precision,0.0,28.5,0.4037149432334194,Not Significant
AllKNN_0,AllKNN_1,Recall,0.0,30.5,0.4990683548846472,Not Significant
AllKNN_0,AllKNN_1,F1,0.0,31.5,0.5508866153183205,Not Significant
AllKNN_0,AllKNN_1,Precision,0.0,36.5,0.8424108310645502,Not Significant
IHT_0,IHT_1,Recall,0.0,30.5,0.4990683548846472,Not Significant
IHT_0,IHT_1,F1,0.0,38.5,0.9682827613458866,Not Significant
IHT_0,IHT_1,Precision,0.0,37.5,0.905048445217947,Not Significant
CNN_0,CNN_1,Recall,0.0,17.5,0.08730804987523452,Not Significant
CNN_0,CNN_1,F1,-0.00014739988889744815,10.5,0.02342434054436848,CV Significantly Better
CNN_0,CNN_1,Precision,-0.0002564964683069437,10.5,0.02342434054436848,CV Significantly Better
NCR_0,NCR_1,Recall,0.0,33.0,0.6304055135710709,Not Significant
NCR_0,NCR_1,F1,0.0,35.5,0.7807552338037507,Not Significant
NCR_0,NCR_1,Precision,0.0,37.5,0.905048445217947,Not Significant
Reen_0,Reen_1,Recall,0.0,30.5,0.4990683548846472,Not Significant
Reen_0,Reen_1,F1,0.0,37.5,0.905048445217947,Not Significant
Reen_0,Reen_1,Precision,0.0,38.5,0.9682827613458866,Not Significant
OSS_0,OSS_1,Recall,0.0,28.5,0.4037149432334194,Not Significant
OSS_0,OSS_1,F1,0.0,19.5,0.12096798278059871,Not Significant
OSS_0,OSS_1,Precision,0.0,31.5,0.5508866153183205,Not Significant
CC_0,CC_1,Recall,0.0,29.5,0.44996064795295154,Not Significant
CC_0,CC_1,F1,0.0,22.5,0.18946933454308545,Not Significant
CC_0,CC_1,Precision,0.0,29.5,0.44996064795295154,Not Significant
ROS_0,ROS_1,Recall,0.0,28.5,0.4037149432334194,Not Significant
ROS_0,ROS_1,F1,0.0,25.5,0.2830119775353257,Not Significant
ROS_0,ROS_1,Precision,0.0,20.5,0.14123727265288805,Not Significant
SMOTE_0,SMOTE_1,Recall,0.0,37.5,0.905048445217947,Not Significant
SMOTE_0,SMOTE_1,F1,0.0,31.5,0.5508866153183205,Not Significant
SMOTE_0,SMOTE_1,Precision,0.0,28.5,0.4037149432334194,Not Significant
BSMOTE_0,BSMOTE_1,Recall,0.0,25.5,0.2830119775353257,Not Significant
BSMOTE_0,BSMOTE_1,F1,0.0,36.5,0.8424108310645502,Not Significant
BSMOTE_0,BSMOTE_1,Precision,0.0,27.5,0.3604388478979109,Not Significant
SVM_0,SVM_1,Recall,0.0,30.5,0.4990683548846472,Not Significant
SVM_0,SVM_1,F1,0.0,29.5,0.44996064795295154,Not Significant
SVM_0,SVM_1,Precision,0.0,29.5,0.44996064795295154,Not Significant
SMOTENN_0,SMOTENN_1,Recall,0.0,29.5,0.44996064795295154,Not Significant
SMOTENN_0,SMOTENN_1,F1,0.0,29.5,0.44996064795295154,Not Significant
SMOTENN_0,SMOTENN_1,Precision,0.0,28.5,0.4037149432334194,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.0,32.5,0.6052205209365773,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.0,22.5,0.18946933454308545,Not Significant
SMOTETomek_0,SMOTETomek_1,Precision,0.0,30.5,0.4990683548846472,Not Significant
